Wind,,,,,,,,,,,,,,
Name,China: Blast Furnace Starting Rate (247),China: Blast Furnace Refining Production Capacity Utilization (247),China: Tangshan: Operating Rate of Blast Furnaces,China: Operating Rate: Deformed Steel Bar: Major Steel Mills,China: Operating Rate: Electric Furnace,China: Capacity Utilization: Electric Stove,China: Estimated Daily Average Output: Steel Products,China: Estimated Daily Average Output: Pig Iron,China: Estimated Daily Average Output: Crude Steel,China: Daily Average Output: Crude Steel,China: Estimated Daily Average Output: Coke,China: Operating Rate: Wire Rod: Major Steel Mills,China: Operating Rate: Deformed Steel Bar: Major Steel Mills,China: Operating Rate of Blast Furnaces (163 Steel Mills)
Frequency,Week,Week,Week,Week,Week,Week,Every Day,Every Day,Every Day,Week,Every Day,Week,Week,Week
Unit,%,%,%,%,%,%,10000 tons/day,10000 tons/day,10000 tons/day,10000 tons/day,10000 tons/day,%,%,%
ID,C1925068,O2244511,S5711217,S5713303,S5715650,S5715660,S5715686,S5715685,S5708247,S5704502,S5715687,S5713327,S5713303,S5708175
Time Period,2018-03-02:2024-12-20,2018-03-02:2024-12-20,2013-12-20:2024-12-20,2015-02-27:2024-12-20,2017-12-08:2024-12-20,2017-12-08:2024-12-20,2014-06-10:2024-12-10,2014-06-10:2024-12-10,2009-01-10:2024-12-10,2009-01-10:2024-12-10,2014-06-10:2021-03-10,2015-02-27:2024-12-20,2015-02-27:2024-12-20,2012-08-03:2021-12-24
Source,Wind,Wind,China United Steel Network,Wind,China United Steel Network,China United Steel Network,Steelhome,Steelhome,Steelhome,Steelhome,Steelhome,Wind,Wind,Wind
Update,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-14,2024-12-14,2024-12-14,2024-12-14,2021-03-15,2024-12-20,2024-12-20,2023-09-20
2015-08-14,0.00 ,0.00 ,88.99 ,81.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.73 ,81.36 ,79.85 
2015-08-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,301.98 ,188.20 ,214.47 ,214.47 ,122.07 ,0.00 ,0.00 ,0.00 
2015-08-21,0.00 ,0.00 ,89.26 ,81.51 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.86 ,81.51 ,80.68 
2015-08-28,0.00 ,0.00 ,84.30 ,82.66 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.06 ,82.66 ,80.92 
2015-08-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,303.86 ,184.15 ,206.47 ,206.47 ,117.50 ,0.00 ,0.00 ,0.00 
2015-09-04,0.00 ,0.00 ,71.96 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.37 
2015-09-06,0.00 ,0.00 ,0.00 ,82.29 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.63 ,82.29 ,0.00 
2015-09-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,284.10 ,182.81 ,202.01 ,202.01 ,131.14 ,0.00 ,0.00 ,0.00 
2015-09-11,0.00 ,0.00 ,91.37 ,81.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.23 ,81.25 ,81.75 
2015-09-18,0.00 ,0.00 ,91.68 ,82.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,81.15 ,82.35 ,82.16 
2015-09-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,292.79 ,187.74 ,205.85 ,205.85 ,120.78 ,0.00 ,0.00 ,0.00 
2015-09-25,0.00 ,0.00 ,91.36 ,82.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,81.15 ,82.35 ,82.02 
2015-10-09,0.00 ,0.00 ,89.72 ,81.57 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,81.73 ,81.57 ,81.15 
2015-10-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,288.50 ,194.93 ,225.61 ,225.61 ,119.64 ,0.00 ,0.00 ,0.00 
2015-10-16,0.00 ,0.00 ,88.44 ,78.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.70 ,78.90 ,80.31 
2015-10-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,292.89 ,196.73 ,228.20 ,228.20 ,121.26 ,0.00 ,0.00 ,0.00 
2015-10-23,0.00 ,0.00 ,88.30 ,78.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.00 ,78.90 ,78.75 
2015-10-30,0.00 ,0.00 ,88.69 ,80.37 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.00 ,80.37 ,78.89 
2015-10-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,289.06 ,189.29 ,220.22 ,220.22 ,120.72 ,0.00 ,0.00 ,0.00 
2015-11-06,0.00 ,0.00 ,86.84 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.29 
2015-11-07,0.00 ,0.00 ,0.00 ,78.94 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.53 ,78.94 ,0.00 
2015-11-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,301.18 ,188.11 ,217.04 ,217.04 ,121.42 ,0.00 ,0.00 ,0.00 
2015-11-13,0.00 ,0.00 ,86.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.33 
2015-11-14,0.00 ,0.00 ,0.00 ,79.32 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.87 ,79.32 ,0.00 
2015-11-20,0.00 ,0.00 ,85.10 ,0.00 ,0.00 ,0.00 ,292.85 ,184.36 ,213.48 ,213.48 ,118.34 ,0.00 ,0.00 ,77.78 
2015-11-21,0.00 ,0.00 ,0.00 ,78.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.64 ,78.36 ,0.00 
2015-11-26,0.00 ,0.00 ,0.00 ,79.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.44 ,79.35 ,0.00 
2015-11-27,0.00 ,0.00 ,83.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.51 
2015-11-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,296.14 ,180.77 ,206.74 ,206.74 ,118.26 ,0.00 ,0.00 ,0.00 
2015-12-03,0.00 ,0.00 ,0.00 ,78.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,74.56 ,78.25 ,0.00 
2015-12-04,0.00 ,0.00 ,87.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.95 
2015-12-10,0.00 ,0.00 ,0.00 ,78.41 ,0.00 ,0.00 ,303.83 ,178.70 ,208.43 ,208.43 ,119.33 ,75.12 ,78.41 ,0.00 
2015-12-11,0.00 ,0.00 ,85.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.26 
2015-12-17,0.00 ,0.00 ,0.00 ,77.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,74.58 ,77.35 ,0.00 
2015-12-18,0.00 ,0.00 ,85.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,75.85 
2015-12-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,301.13 ,177.96 ,207.79 ,207.79 ,118.69 ,0.00 ,0.00 ,0.00 
2015-12-25,0.00 ,0.00 ,83.39 ,77.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,74.58 ,77.35 ,75.12 
2015-12-31,0.00 ,0.00 ,0.00 ,79.08 ,0.00 ,0.00 ,297.58 ,173.02 ,201.45 ,201.45 ,118.45 ,75.76 ,79.08 ,0.00 
2016-01-01,0.00 ,0.00 ,84.78 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,74.05 
2016-01-07,0.00 ,0.00 ,0.00 ,75.96 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,72.66 ,75.96 ,0.00 
2016-01-08,0.00 ,0.00 ,83.55 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,74.74 
2016-01-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,293.76 ,176.04 ,205.44 ,205.44 ,120.41 ,0.00 ,0.00 ,0.00 
2016-01-14,0.00 ,0.00 ,0.00 ,77.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,73.43 ,77.47 ,0.00 
2016-01-15,0.00 ,0.00 ,81.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,74.19 
2016-01-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,205.44 ,201.21 ,0.00 ,0.00 ,0.00 ,0.00 
2016-01-21,0.00 ,0.00 ,0.00 ,76.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,72.14 ,76.35 ,0.00 
2016-01-22,0.00 ,0.00 ,81.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,73.78 
2016-01-28,0.00 ,0.00 ,0.00 ,69.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,69.05 ,69.60 ,0.00 
2016-01-29,0.00 ,0.00 ,82.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,73.88 
2016-01-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,292.32 ,173.40 ,199.71 ,199.71 ,116.96 ,0.00 ,0.00 ,0.00 
2016-02-05,0.00 ,0.00 ,82.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2016-02-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,276.07 ,178.54 ,206.13 ,206.13 ,117.49 ,0.00 ,0.00 ,0.00 
2016-02-12,0.00 ,0.00 ,82.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,74.05 
2016-02-14,0.00 ,0.00 ,0.00 ,56.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,65.00 ,56.50 ,0.00 
2016-02-17,0.00 ,0.00 ,0.00 ,57.44 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,65.00 ,57.44 ,0.00 
2016-02-19,0.00 ,0.00 ,84.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,73.92 
2016-02-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,280.71 ,178.99 ,205.88 ,205.88 ,118.09 ,0.00 ,0.00 ,0.00 
2016-02-25,0.00 ,0.00 ,0.00 ,64.70 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,68.78 ,64.70 ,0.00 
2016-02-26,0.00 ,0.00 ,83.81 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,74.33 
2016-02-29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,269.15 ,191.81 ,204.22 ,204.22 ,122.87 ,0.00 ,0.00 ,0.00 
2016-03-02,0.00 ,0.00 ,0.00 ,69.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.00 ,69.60 ,0.00 
2016-03-04,0.00 ,0.00 ,85.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.68 
2016-03-09,0.00 ,0.00 ,0.00 ,75.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.27 ,75.07 ,0.00 
2016-03-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,274.07 ,178.40 ,207.61 ,207.61 ,114.35 ,0.00 ,0.00 ,0.00 
2016-03-11,0.00 ,0.00 ,84.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.47 
2016-03-16,0.00 ,0.00 ,0.00 ,76.17 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.56 ,76.17 ,0.00 
2016-03-18,0.00 ,0.00 ,86.39 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.37 
2016-03-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,282.90 ,182.94 ,216.44 ,216.44 ,115.61 ,0.00 ,0.00 ,0.00 
2016-03-24,0.00 ,0.00 ,0.00 ,75.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.87 ,75.05 ,0.00 
2016-03-25,0.00 ,0.00 ,86.81 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.78 
2016-03-31,0.00 ,0.00 ,0.00 ,75.42 ,0.00 ,0.00 ,296.27 ,183.53 ,212.30 ,212.30 ,112.30 ,77.53 ,75.42 ,0.00 
2016-04-01,0.00 ,0.00 ,86.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.47 
2016-04-07,0.00 ,0.00 ,0.00 ,74.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,75.00 ,74.35 ,0.00 
2016-04-08,0.00 ,0.00 ,86.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.29 
2016-04-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,299.98 ,186.03 ,226.21 ,226.21 ,114.66 ,0.00 ,0.00 ,0.00 
2016-04-14,0.00 ,0.00 ,0.00 ,75.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.36 ,75.77 ,0.00 
2016-04-15,0.00 ,0.00 ,86.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.29 
2016-04-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,314.02 ,186.73 ,227.99 ,227.99 ,115.86 ,0.00 ,0.00 ,0.00 
2016-04-21,0.00 ,0.00 ,0.00 ,76.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.56 ,76.12 ,0.00 
2016-04-22,0.00 ,0.00 ,88.37 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.69 
2016-04-27,0.00 ,0.00 ,0.00 ,79.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.13 ,79.15 ,0.00 
2016-04-29,0.00 ,0.00 ,85.51 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.89 
2016-04-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,231.44 ,231.44 ,0.00 ,0.00 ,0.00 ,0.00 
2016-05-04,0.00 ,0.00 ,0.00 ,79.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.73 ,79.15 ,0.00 
2016-05-06,0.00 ,0.00 ,86.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.40 
2016-05-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,319.75 ,188.44 ,230.03 ,230.03 ,120.90 ,0.00 ,0.00 ,0.00 
2016-05-11,0.00 ,0.00 ,0.00 ,80.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.59 ,80.05 ,0.00 
2016-05-13,0.00 ,0.00 ,89.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.54 
2016-05-19,0.00 ,0.00 ,0.00 ,78.95 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.59 ,78.95 ,0.00 
2016-05-20,0.00 ,0.00 ,90.55 ,0.00 ,0.00 ,0.00 ,319.98 ,191.76 ,234.76 ,234.76 ,119.66 ,0.00 ,0.00 ,81.06 
2016-05-25,0.00 ,0.00 ,0.00 ,80.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.87 ,80.79 ,0.00 
2016-05-27,0.00 ,0.00 ,91.26 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,81.24 
2016-05-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,331.72 ,193.52 ,238.54 ,238.54 ,117.45 ,0.00 ,0.00 ,0.00 
2016-06-01,0.00 ,0.00 ,0.00 ,80.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.64 ,80.79 ,0.00 
2016-06-03,0.00 ,0.00 ,91.98 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,81.06 
2016-06-08,0.00 ,0.00 ,0.00 ,79.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.81 ,79.65 ,0.00 
2016-06-10,0.00 ,0.00 ,89.90 ,0.00 ,0.00 ,0.00 ,322.84 ,199.07 ,234.75 ,234.75 ,118.48 ,0.00 ,0.00 ,80.27 
2016-06-15,0.00 ,0.00 ,0.00 ,80.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.53 ,80.75 ,0.00 
2016-06-17,0.00 ,0.00 ,60.67 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,75.30 
2016-06-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,308.03 ,195.67 ,223.19 ,223.19 ,119.10 ,0.00 ,0.00 ,0.00 
2016-06-22,0.00 ,0.00 ,0.00 ,82.38 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.53 ,82.38 ,0.00 
2016-06-24,0.00 ,0.00 ,88.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.44 
2016-06-29,0.00 ,0.00 ,0.00 ,81.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.87 ,81.99 ,0.00 
2016-06-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.99 ,193.60 ,225.82 ,225.82 ,118.94 ,0.00 ,0.00 ,0.00 
2016-07-01,0.00 ,0.00 ,88.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.68 
2016-07-06,0.00 ,0.00 ,0.00 ,81.27 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,75.64 ,81.27 ,0.00 
2016-07-08,0.00 ,0.00 ,89.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.40 
2016-07-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,319.02 ,196.45 ,225.32 ,225.32 ,114.79 ,0.00 ,0.00 ,0.00 
2016-07-13,0.00 ,0.00 ,0.00 ,80.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.22 ,80.99 ,0.00 
2016-07-15,0.00 ,0.00 ,88.39 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.47 
2016-07-20,0.00 ,0.00 ,0.00 ,80.69 ,0.00 ,0.00 ,321.34 ,196.45 ,223.83 ,223.83 ,115.75 ,77.47 ,80.69 ,0.00 
2016-07-22,0.00 ,0.00 ,86.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.61 
2016-07-27,0.00 ,0.00 ,0.00 ,81.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.13 ,81.33 ,0.00 
2016-07-29,0.00 ,0.00 ,80.71 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.06 
2016-07-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,302.36 ,185.70 ,222.51 ,222.51 ,109.83 ,0.00 ,0.00 ,0.00 
2016-08-03,0.00 ,0.00 ,0.00 ,76.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,72.00 ,76.60 ,0.00 
2016-08-05,0.00 ,0.00 ,88.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.68 
2016-08-10,0.00 ,0.00 ,0.00 ,76.60 ,0.00 ,0.00 ,311.60 ,189.83 ,222.54 ,222.54 ,117.13 ,76.50 ,76.60 ,0.00 
2016-08-12,0.00 ,0.00 ,89.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.54 
2016-08-17,0.00 ,0.00 ,0.00 ,78.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.50 ,78.80 ,0.00 
2016-08-19,0.00 ,0.00 ,89.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.23 
2016-08-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,319.84 ,192.19 ,229.18 ,229.18 ,118.21 ,0.00 ,0.00 ,0.00 
2016-08-24,0.00 ,0.00 ,0.00 ,80.38 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.56 ,80.38 ,0.00 
2016-08-26,0.00 ,0.00 ,90.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.64 
2016-08-31,0.00 ,0.00 ,0.00 ,74.84 ,0.00 ,0.00 ,325.26 ,186.48 ,221.20 ,221.20 ,115.04 ,72.60 ,74.84 ,0.00 
2016-09-02,0.00 ,0.00 ,90.94 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.52 
2016-09-07,0.00 ,0.00 ,0.00 ,75.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,73.43 ,75.42 ,0.00 
2016-09-09,0.00 ,0.00 ,91.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.50 
2016-09-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,318.80 ,200.88 ,230.58 ,230.58 ,121.39 ,0.00 ,0.00 ,0.00 
2016-09-14,0.00 ,0.00 ,0.00 ,80.23 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.00 ,80.23 ,0.00 
2016-09-16,0.00 ,0.00 ,91.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.82 
2016-09-18,0.00 ,0.00 ,0.00 ,80.32 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.16 ,80.32 ,0.00 
2016-09-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,332.10 ,201.63 ,231.91 ,231.91 ,124.60 ,0.00 ,0.00 ,0.00 
2016-09-21,0.00 ,0.00 ,0.00 ,82.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.16 ,82.09 ,0.00 
2016-09-23,0.00 ,0.00 ,91.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,80.37 
2016-09-28,0.00 ,0.00 ,0.00 ,82.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.21 ,82.09 ,0.00 
2016-09-30,0.00 ,0.00 ,89.65 ,0.00 ,0.00 ,0.00 ,309.36 ,193.16 ,227.54 ,227.54 ,122.39 ,0.00 ,0.00 ,79.58 
2016-10-07,0.00 ,0.00 ,89.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.76 
2016-10-08,0.00 ,0.00 ,0.00 ,81.16 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.56 ,81.16 ,0.00 
2016-10-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,312.83 ,198.79 ,229.11 ,229.11 ,125.14 ,0.00 ,0.00 ,0.00 
2016-10-12,0.00 ,0.00 ,0.00 ,78.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.24 ,78.90 ,0.00 
2016-10-14,0.00 ,0.00 ,89.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.89 
2016-10-19,0.00 ,0.00 ,0.00 ,80.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.24 ,80.05 ,0.00 
2016-10-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,314.13 ,196.89 ,226.43 ,226.43 ,121.60 ,0.00 ,0.00 ,0.00 
2016-10-21,0.00 ,0.00 ,89.16 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.26 
